"STATEFP","Region","STATE.NAME"
"01",3,"Alabama"
"04",1,"Arizona"
"05",3,"Arkansas"
"06",1,"California"
"08",1,"Colorado"
"09",4,"Connecticut"
"10",3,"Delaware"
"11",4,"District of Columbia"
"12",3,"Florida"
"13",3,"Georgia"
"16",1,"Idaho"
"17",2,"Illinois"
"18",2,"Indiana"
"19",2,"Iowa"
"20",2,"Kansas"
"21",3,"Kentucky"
"22",3,"Louisiana"
"23",4,"Maine"
"24",3,"Maryland"
"25",4,"Massachusetts"
"26",2,"Michigan"
"27",2,"Minnesota"
"28",3,"Mississippi"
"29",2,"Missouri"
"30",1,"Montana"
"31",2,"Nebraska"
"32",1,"Nevada"
"33",4,"New Hampshire"
"34",4,"New Jersey"
"35",1,"New Mexico"
"36",4,"New York"
"37",3,"North Carolina"
"38",2,"North Dakota"
"39",2,"Ohio"
"40",3,"Oklahoma"
"41",1,"Oregon"
"42",4,"Pennsylvania"
"44",4,"Rhode Island"
"45",3,"South Carolina"
"46",2,"South Dakota"
"47",3,"Tennessee"
"48",3,"Texas"
"49",1,"Utah"
"50",4,"Vermont"
"51",3,"Virginia"
"53",1,"Washington"
"54",3,"West Virginia"
"55",2,"Wisconsin"
"56",1,"Wyoming"
